academic_year,class_name,grade,class_letter,students_count,avg_grade_5,attendance_pct,homework_completion_pct,tests_avg_pct,behavior_score_100,olympiad_participation_pct,club_participation_pct,parent_engagement_pct,exam_grade_flag,rating_score_100,rating_place,rating_group,risk_probability,risk_score_100,risk_level,risk_reason
2025/2026,5Е,5,Е,25,3.53,88.1,73.2,59.8,76.9,12.0,57.8,64.9,0,67.0,54,D: зона роста,0.566,56.6,высокий,посещаемость < 90%; средний результат контрольных < 70%
2025/2026,6А,6,А,27,3.83,96.1,83.2,87.1,84.8,22.4,47.3,74.8,0,80.2,8,B: сильный класс,0.197,19.7,низкий,критических факторов нет
2025/2026,6Б,6,Б,30,4.03,96.1,82.6,73.1,88.8,22.4,46.9,63.1,0,77.7,15,B: сильный класс,0.255,25.5,низкий,критических факторов нет
2025/2026,6В,6,В,28,3.19,92.2,73.5,65.3,82.7,14.2,42.2,69.4,0,68.6,48,D: зона роста,0.49,49.0,средний,средний результат контрольных < 70%; средняя оценка < 3.5
2025/2026,6Г,6,Г,26,3.3,89.6,79.6,62.4,70.0,0.0,44.5,61.3,0,66.3,56,D: зона роста,0.563,56.3,средний,посещаемость < 90%; средний результат контрольных < 70%; поведенческий индекс < 75
2025/2026,6Д,6,Д,26,3.56,85.8,64.7,72.3,76.2,12.0,41.3,57.3,0,67.3,52,D: зона роста,0.567,56.7,средний,посещаемость < 90%; выполнение ДЗ < 70%
2025/2026,6Е,6,Е,27,3.62,87.7,70.6,60.0,74.6,15.0,45.7,54.2,0,66.0,57,D: зона роста,0.605,60.5,высокий,посещаемость < 90%; средний результат контрольных < 70%; поведенческий индекс < 75
2025/2026,7А,7,А,32,3.94,97.6,82.5,81.3,88.5,25.1,62.7,61.1,0,80.1,10,B: сильный класс,0.217,21.7,низкий,критических факторов нет
2025/2026,7Б,7,Б,26,3.5,90.9,82.2,73.2,82.2,11.7,42.1,52.9,0,72.6,36,C: стабильный класс,0.395,39.5,средний,средняя оценка < 3.5; низкая вовлеченность родителей
2025/2026,7В,7,В,23,3.38,89.0,73.4,68.9,82.0,16.8,42.0,53.4,0,69.1,46,D: зона роста,0.508,50.8,средний,посещаемость < 90%; средний результат контрольных < 70%; средняя оценка < 3.5
2025/2026,7Г,7,Г,24,3.97,90.7,81.3,70.1,84.0,16.7,44.4,65.4,0,74.4,29,C: стабильный класс,0.341,34.1,средний,умеренный риск по совокупности факторов
2025/2026,7Д,7,Д,25,3.34,87.9,77.9,76.4,73.7,13.2,32.2,53.3,0,69.8,44,D: зона роста,0.484,48.4,средний,посещаемость < 90%; поведенческий индекс < 75; средняя оценка < 3.5
2025/2026,7Е,7,Е,26,3.1,86.1,76.6,70.8,69.5,14.9,43.4,50.4,0,66.5,55,D: зона роста,0.598,59.8,средний,посещаемость < 90%; поведенческий индекс < 75; средняя оценка < 3.5
2025/2026,8А,8,А,28,3.91,99.2,90.0,84.2,86.5,21.9,57.8,66.0,0,82.1,6,A: лидер,0.168,16.8,низкий,критических факторов нет
2025/2026,8Б,8,Б,22,3.65,93.4,83.3,73.9,81.6,32.0,36.9,71.3,0,75.2,25,C: стабильный класс,0.317,31.7,средний,умеренный риск по совокупности факторов
2025/2026,8В,8,В,27,3.78,91.6,78.2,82.0,76.1,20.3,44.9,66.6,0,75.2,26,C: стабильный класс,0.329,32.9,средний,умеренный риск по совокупности факторов
2025/2026,8Г,8,Г,28,3.47,90.6,74.7,74.8,85.0,24.6,47.8,59.4,0,72.6,37,C: стабильный класс,0.408,40.8,средний,средняя оценка < 3.5
2025/2026,8Д,8,Д,28,3.13,87.7,73.1,67.7,77.2,12.3,51.6,63.6,0,67.1,53,D: зона роста,0.561,56.1,средний,посещаемость < 90%; средний результат контрольных < 70%; средняя оценка < 3.5
2025/2026,8Е,8,Е,27,2.98,89.8,69.0,73.9,76.8,14.7,46.2,61.2,0,67.5,51,D: зона роста,0.548,54.8,средний,посещаемость < 90%; выполнение ДЗ < 70%; средняя оценка < 3.5
2025/2026,9А,9,А,23,3.99,94.3,77.8,77.9,84.0,23.2,51.8,60.0,1,76.7,17,B: сильный класс,0.348,34.8,средний,умеренный риск по совокупности факторов
2025/2026,9Б,9,Б,25,3.65,90.4,71.9,75.6,81.5,19.4,43.5,51.5,1,71.8,39,C: стабильный класс,0.497,49.7,средний,низкая вовлеченность родителей
2025/2026,9В,9,В,27,3.78,90.2,77.4,82.2,84.4,14.8,39.7,59.5,1,75.4,23,C: стабильный класс,0.375,37.5,средний,умеренный риск по совокупности факторов
2025/2026,9Г,9,Г,28,3.18,84.1,70.3,60.4,78.8,12.5,29.8,57.6,1,63.6,63,E: требуется внимание,0.709,70.9,высокий,посещаемость < 90%; средний результат контрольных < 70%; средняя оценка < 3.5
2025/2026,9Д,9,Д,26,3.06,85.0,62.2,57.7,75.0,13.9,40.9,58.1,1,60.9,66,E: требуется внимание,0.779,77.9,высокий,посещаемость < 90%; выполнение ДЗ < 70%; средний результат контрольных < 70%
2025/2026,9Е,9,Е,25,3.08,85.9,67.8,69.1,75.6,8.7,44.0,58.3,1,65.1,60,D: зона роста,0.679,67.9,высокий,посещаемость < 90%; выполнение ДЗ < 70%; средний результат контрольных < 70%
2025/2026,10А,10,А,26,3.78,91.3,81.9,84.4,84.8,22.5,40.5,58.9,0,77.5,16,B: сильный класс,0.273,27.3,низкий,критических факторов нет
2025/2026,10Б,10,Б,27,3.93,93.2,86.6,79.5,81.2,18.8,48.5,64.2,0,77.9,14,B: сильный класс,0.257,25.7,низкий,критических факторов нет
2025/2026,10В,10,В,27,3.65,88.4,78.1,78.9,87.8,18.4,67.8,64.2,0,75.5,22,C: стабильный класс,0.339,33.9,средний,посещаемость < 90%
2025/2026,10Г,10,Г,24,3.94,91.1,71.8,71.8,84.8,16.0,43.2,56.4,0,72.7,35,C: стабильный класс,0.397,39.7,средний,умеренный риск по совокупности факторов
2025/2026,10Д,10,Д,25,3.11,87.8,59.9,64.4,75.2,20.1,44.6,58.4,0,63.2,64,E: требуется внимание,0.681,68.1,высокий,посещаемость < 90%; выполнение ДЗ < 70%; средний результат контрольных < 70%
2025/2026,10Е,10,Е,26,3.39,86.9,65.1,67.6,74.7,11.6,41.5,59.9,0,65.6,59,D: зона роста,0.609,60.9,высокий,посещаемость < 90%; выполнение ДЗ < 70%; средний результат контрольных < 70%
2025/2026,11А,11,А,23,3.88,90.4,77.6,82.1,78.6,32.0,41.5,57.3,1,75.7,20,C: стабильный класс,0.394,39.4,средний,умеренный риск по совокупности факторов
2025/2026,11Б,11,Б,27,3.85,93.1,70.5,79.4,83.9,13.4,55.3,70.8,1,74.9,28,C: стабильный класс,0.385,38.5,средний,умеренный риск по совокупности факторов
2025/2026,11В,11,В,28,3.68,90.7,76.2,71.9,82.5,12.3,35.2,68.0,1,72.0,38,C: стабильный класс,0.452,45.2,средний,умеренный риск по совокупности факторов
2025/2026,11Г,11,Г,27,3.08,88.8,64.4,62.6,80.0,7.7,57.9,56.6,1,64.4,62,D: зона роста,0.698,69.8,высокий,посещаемость < 90%; выполнение ДЗ < 70%; средний результат контрольных < 70%
2025/2026,11Д,11,Д,24,3.22,87.1,67.8,68.3,74.9,12.0,45.5,58.5,1,65.7,58,D: зона роста,0.664,66.4,высокий,посещаемость < 90%; выполнение ДЗ < 70%; средний результат контрольных < 70%
2025/2026,11Е,11,Е,22,3.0,81.6,65.5,70.2,70.9,5.4,37.2,53.2,1,62.5,65,E: требуется внимание,0.75,75.0,высокий,посещаемость < 90%; выполнение ДЗ < 70%; поведенческий индекс < 75
